"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","PowerDbWithNoise","NoisevalueDb"
9,"Spectrogram 1",1,1711.086219,1715.574902,580,1080.8,12.6,"1_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Hfunstart",59.74284695,64.4159232,56.79966107
10,"Spectrogram 1",1,1726.482932,1728.018339,176.23,400.637,10.9,"1_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_start",43.96803434,59.23376078,57.58943524
11,"Spectrogram 1",1,1729.043701,1730.074317,316.403,606.928,11.57,"1_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P1",50.02214514,59.81075232,56.40945012
12,"Spectrogram 1",1,1715.619519,1722.416279,580,1526.5,11.53,"1_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Hfuntrill",52.37956496,61.71868825,58.09339944
13,"Spectrogram 1",1,1731.318807,1732.09218,397.556,701.442,12.46,"1_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P2",58.80004491,63.59278785,56.14172488
14,"Spectrogram 1",1,1733.445583,1734.427172,342.254,628.286,11.28,"1_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P3",52.21492045,60.36071819,56.04620846
15,"Spectrogram 1",1,1735.973918,1736.791909,332.922,676.989,11.22,"1_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P4",49.95939656,60.13887966,56.91887756
16,"Spectrogram 1",1,1738.489822,1739.29294,287.528,605.5,11.26,"1_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P5",49.66801455,60.27672456,57.24266109
17,"Spectrogram 1",1,1741.285863,1742.148471,398.054,683.299,12.53,"1_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P6",59.3213114,63.63962656,55.49974071
18,"Spectrogram 1",1,1744.089774,1745.205216,297.567,579.681,11.71,"1_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P7",48.30054014,59.23290187,56.33065794
19,"Spectrogram 1",1,1747.153521,1748.477179,181.461,373.468,10.3,"1_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P8",43.11306969,58.53845503,56.92703849
20,"Spectrogram 1",1,1750.705782,1752.044313,184.422,366.56,11.12,"1_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P9",40.98492013,57.9773104,56.65335507
21,"Spectrogram 1",1,1754.222002,1755.768749,151.211,364.245,10.36,"1_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Pmor_P10",39.06198942,58.93746862,58.00837233
22,"Spectrogram 1",1,1778.033322,1785.226599,589.6,1381.6,10.84,"1_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Halbstart",44.41276835,59.48478809,57.79954131
23,"Spectrogram 1",1,1785.394863,1790.064184,748.9,1593.5,11.66,"1_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Halbpeak",52.56699572,61.14864066,57.10339003
24,"Spectrogram 1",1,1790.451442,1793.459157,358.5,900.3,10.8,"1_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_Halbend",42.00825364,58.98535985,57.65888533
25,"Spectrogram 1",1,1796.174085,1797.015404,96.711,414.3,11.52,"1_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurP_P1",48.78458151,62.61897026,60.6441357
26,"Spectrogram 1",1,1798.116343,1798.894564,90.704,501.9,15.36,"1_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurP_P2",48.92559114,63.27257259,61.42388749
27,"Spectrogram 1",1,1800.024265,1800.676287,86.757,478,16.37,"1_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurP_P3",51.31255271,63.83845768,61.49542138
28,"Spectrogram 1",1,1801.729586,1802.528839,94.566,390.4,11.13,"1_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurP_P4",53.09104286,63.7055131,60.67385679
29,"Spectrogram 1",1,1803.751035,1804.592354,86.671,345.224,14.14,"1_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurP_P5",45.32015057,62.15189188,60.80119745
30,"Spectrogram 1",1,1807.617389,1808.500774,51.511,255,11.87,"1_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurS_S1",38.14309259,62.63934963,62.10567696
31,"Spectrogram 1",1,1810.162379,1810.9406,51.23,247,11.78,"1_PwurS_S2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurS_S2",44.18239806,63.0934953,62.0484793
32,"Spectrogram 1",1,1812.49704,1813.48559,48.72,239,11.29,"1_PwurS_S3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurS_S3",41.48453591,63.00320227,62.24150157
33,"Spectrogram 1",1,1815.04203,1816.03058,51.637,247,12.78,"1_PwurS_S4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurS_S4",38.65273093,62.93931423,62.39218285
34,"Spectrogram 1",1,1817.499674,1818.404092,53.033,249.434,11.54,"1_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"1_PwurS_S5",40.55317807,62.75832423,62.05691036
43,"Spectrogram 1",1,1860.555219,1865.043902,580,1080.8,12.86,"2_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Hfunstart",59.1217854,64.06679102,56.81832535
44,"Spectrogram 1",1,1875.951932,1877.487339,176.23,400.637,11.59,"2_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_start",39.38754865,58.70111072,57.70623041
45,"Spectrogram 1",1,1878.512701,1879.543317,316.403,606.928,11.45,"2_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P1",50.25301138,59.66333362,56.07469586
46,"Spectrogram 1",1,1865.088519,1871.885279,580,1526.5,11.46,"2_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Hfuntrill",52.24997773,61.66418144,58.07752871
47,"Spectrogram 1",1,1880.787807,1881.56118,397.556,701.442,13.07,"2_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P2",59.34356238,63.69398733,55.60372326
48,"Spectrogram 1",1,1882.914583,1883.896172,342.254,628.286,11.79,"2_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P3",53.15351549,60.81741485,56.17812577
49,"Spectrogram 1",1,1885.442918,1886.260909,332.922,676.989,11.53,"2_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P4",50.1065408,60.18970633,56.92612991
50,"Spectrogram 1",1,1887.958822,1888.76194,287.528,605.5,11.35,"2_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P5",50.73790961,60.55250837,57.16363719
51,"Spectrogram 1",1,1890.754863,1891.617471,398.054,683.299,12.14,"2_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P6",58.66466687,63.35379077,55.75999887
52,"Spectrogram 1",1,1893.558774,1894.674216,297.567,579.681,11.42,"2_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P7",48.81653813,59.69026783,56.76465276
53,"Spectrogram 1",1,1896.622521,1897.946179,181.461,373.468,10.7,"2_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P8",44.89236528,59.31168713,57.48007197
54,"Spectrogram 1",1,1900.174782,1901.513313,184.422,366.56,11.82,"2_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P9",38.85967615,58.07473715,57.06782666
55,"Spectrogram 1",1,1903.691002,1905.237749,151.211,364.245,10.8,"2_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Pmor_P10",34.27684085,58.85903405,58.33077845
56,"Spectrogram 1",1,1927.502322,1934.695599,589.6,1381.6,10.87,"2_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Halbstart",43.76991255,59.79341351,58.2990252
57,"Spectrogram 1",1,1934.863863,1939.533184,748.9,1593.5,11.77,"2_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Halbpeak",53.64706349,61.54125289,57.06093549
58,"Spectrogram 1",1,1939.920442,1942.928157,358.5,900.3,10.71,"2_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_Halbend",42.45205339,59.42964478,58.10325031
59,"Spectrogram 1",1,1945.643085,1946.484404,96.711,414.3,11.93,"2_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurP_P1",48.15365978,62.69774376,60.89515921
60,"Spectrogram 1",1,1947.585343,1948.363564,90.704,501.9,13.76,"2_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurP_P2",49.95927101,63.76563512,61.78363183
61,"Spectrogram 1",1,1949.493265,1950.145287,86.757,478,15.81,"2_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurP_P3",48.93748956,63.80231802,62.07205722
62,"Spectrogram 1",1,1951.198586,1951.997839,94.566,390.4,11.86,"2_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurP_P4",52.7331012,63.99496794,61.22006178
63,"Spectrogram 1",1,1953.220035,1954.061354,86.671,345.224,14.7,"2_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurP_P5",44.83025113,62.06192329,60.77674281
64,"Spectrogram 1",1,1957.086389,1957.969774,51.511,255,12.82,"2_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurS_S1",45.80328905,63.35835121,62.12364613
65,"Spectrogram 1",1,1959.631379,1960.4096,51.23,247,11.21,"2_PwurS_S2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurS_S2",49.33727205,63.96302006,62.17916162
66,"Spectrogram 1",1,1961.96604,1962.95459,48.72,239,11.52,"2_PwurS_S3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurS_S3",43.2274519,63.09527255,62.1653112
67,"Spectrogram 1",1,1964.51103,1965.49958,51.637,247,11.56,"2_PwurS_S4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurS_S4",49.08623475,63.99324717,62.2722575
68,"Spectrogram 1",1,1966.968674,1967.873092,53.033,249.434,11.78,"2_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"2_PwurS_S5",46.68583629,63.4766532,62.11905437
77,"Spectrogram 1",1,2009.986219,2014.474902,580,1080.8,12.52,"3_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Hfunstart",59.19114962,64.18956446,57.0102381
78,"Spectrogram 1",1,2025.382932,2026.918339,176.23,400.637,10.99,"3_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_start",41.05581444,58.65815886,57.43065356
79,"Spectrogram 1",1,2027.943701,2028.974317,316.403,606.928,12.31,"3_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_P1",52.5268005,60.58962963,56.22132147
80,"Spectrogram 1",1,2014.519519,2021.316279,580,1526.5,11.49,"3_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Hfuntrill",52.31062536,61.65675675,58.03509573
81,"Spectrogram 1",1,2030.218807,2030.99218,397.556,701.442,11.33,"3_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_P2",59.67122831,63.83060178,55.43802011
82,"Spectrogram 1",1,2032.345583,2033.327172,342.254,628.286,11.94,"3_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_P3",52.57426956,60.54126271,56.10974541
83,"Spectrogram 1",1,2034.873918,2035.691909,332.922,676.989,11.72,"3_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_P4",49.6749699,60.03668426,56.89723587
84,"Spectrogram 1",1,2037.389822,2038.19294,287.528,605.5,11.27,"3_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)",20190805,844,"3_Pmor_P5",48.3926534,59.95692127,57.29316666
