"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","PowerDbWithNoise","NoisevalueDb"
9,"Spectrogram 1",1,1711.086218779,1715.574901599,580,1080.8,12.6,"1_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Hfunstart",59.7428469457887,64.4159231982619,56.7996610658677
10,"Spectrogram 1",1,1726.482931729,1728.018338949,143.4,470.1,10.9,"1_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_start",43.4013308765109,60.6748470967385,59.3963208350309
11,"Spectrogram 1",1,1729.043701289,1730.074317089,159.3,709.1,11.57,"1_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P1",49.2176224009119,62.5319340740119,60.4191881650639
12,"Spectrogram 1",1,1715.619519279,1722.416279029,580,1526.5,11.53,"1_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Hfuntrill",52.3795649588156,61.7186882537992,58.0933994433894
13,"Spectrogram 1",1,1731.318806709,1732.092179809,326.7,756.9,12.46,"1_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P2",58.9723886462817,64.4081435637822,57.7604581442465
14,"Spectrogram 1",1,1733.445582729,1734.427171669,294.8,669.3,11.28,"1_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P3",51.689768171804,61.1461318480292,57.580954063898
15,"Spectrogram 1",1,1735.973917869,1736.791908649,318.7,693.2,11.22,"1_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P4",50.1454446809862,60.4861158777482,57.337489384655
16,"Spectrogram 1",1,1738.489821669,1739.292939889,278.9,605.5,11.26,"1_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P5",49.4502138689616,60.3456712807525,57.428742777615
17,"Spectrogram 1",1,1741.285862879,1742.148471339,294.8,701.1,12.53,"1_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P6",57.9479818166682,63.8539030161294,57.7170900196517
18,"Spectrogram 1",1,1744.089773909,1745.205215879,255,669.3,11.71,"1_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P7",48.9689557092283,60.7116456078242,58.1110434311149
19,"Spectrogram 1",1,1747.153521189,1748.477178999,159.3,390.4,10.3,"1_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P8",42.5247814792648,59.4144239124731,58.0734333591415
20,"Spectrogram 1",1,1750.705782179,1752.044312549,127.5,398.4,11.12,"1_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P9",42.7965732434998,60.1562162871882,58.8912699700623
21,"Spectrogram 1",1,1754.222002369,1755.768748569,127.5,398.4,10.36,"1_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Pmor_P10",36.9065475682864,59.9061926860381,59.2684003491566
22,"Spectrogram 1",1,1778.033321659,1785.226599259,589.6,1381.6,10.84,"1_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Halbstart",44.4127683489569,59.4847880927952,57.799541305059
23,"Spectrogram 1",1,1785.394863059,1790.064183659,748.9,1593.5,11.66,"1_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Halbpeak",52.5669957170218,61.1486406632529,57.1033900274421
24,"Spectrogram 1",1,1790.451441759,1793.459157259,358.5,900.3,10.8,"1_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_Halbend",42.0082536357682,58.9853598477884,57.6588853269557
25,"Spectrogram 1",1,1796.17408468,1797.01540368,96.711,414.3,11.52,"1_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurP_P1",48.7845815059369,62.6189702562953,60.6441357021661
26,"Spectrogram 1",1,1798.116343418,1798.894563518,90.704,501.9,15.36,"1_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurP_P2",48.9255911376083,63.2725725949097,61.4238874909414
27,"Spectrogram 1",1,1800.02426508,1800.67628738,86.757,478,16.37,"1_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurP_P3",51.3125527071204,63.8384576769523,61.4954213831762
28,"Spectrogram 1",1,1801.729585914,1802.528839014,94.566,390.4,11.13,"1_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurP_P4",53.0910428613143,63.7055130989489,60.6738567851817
29,"Spectrogram 1",1,1803.751035257,1804.592354357,86.671,345.224,14.14,"1_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurP_P5",45.3201505701025,62.1518918808037,60.8011974501867
30,"Spectrogram 1",1,1807.617389459,1808.500774359,23.9,255,11.87,"1_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S1",NA,64.8996206401108,64.9021288083006
31,"Spectrogram 1",1,1810.162379459,1810.940599559,47.8,247,11.78,"1_PwurS_S2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S2",44.8588426027308,63.413724482201,62.3220952417543
32,"Spectrogram 1",1,1812.497039759,1813.485589559,39.8,239,11.29,"1_PwurS_S3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S3",37.3288859152692,63.5157375238242,63.0788721892202
33,"Spectrogram 1",1,1815.042029759,1816.030579659,31.9,247,12.78,"1_PwurS_S4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S4",41.6083725737044,64.7189990358026,64.0896046974829
34,"Spectrogram 1",1,1817.499673559,1818.404091559,31.9,207.2,11.54,"1_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S5",37.878071173454,64.2150671104417,63.7858766193957
43,"Spectrogram 1",1,1860.555218779,1865.043901599,580,1080.8,12.86,"2_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Hfunstart",59.1217854021005,64.066791019209,56.8183253484336
44,"Spectrogram 1",1,1875.951931729,1877.487338949,143.4,470.1,11.59,"2_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_start",39.1563018088044,60.1516344183604,59.3403523561225
45,"Spectrogram 1",1,1878.512701289,1879.543317089,159.3,709.1,11.45,"2_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P1",48.4464983950713,62.1920608266866,60.1944041026752
